,id,place,speedrun_link,submitted_date,primary_time_seconds,real_time_seconds,player_id,player_name,player_country,platform,verified
0,z0k8qe9m,1,http://www.speedrun.com/sm64/run/z0k8qe9m,2026-01-14T03:03:59Z,413.68,413.68,jn32931x,Suigi,Canada,N64,Yes
1,me20pn8m,2,http://www.speedrun.com/sm64/run/me20pn8m,2025-07-22T10:45:45Z,419.41,419.41,8wkzer38,Parsee02,Japan,N64,Yes
2,z0kpxvem,3,http://www.speedrun.com/sm64/run/z0kpxvem,2025-11-30T22:39:09Z,419.96,419.96,qj2rklpx,cjrokokomero,Italy,N64,Yes
3,z5lgrjgy,4,http://www.speedrun.com/sm64/run/z5lgrjgy,2025-03-04T04:13:41Z,422.98,422.98,18q652oj,Poke,United States,N64,Yes
4,y6g3g5jm,5,http://www.speedrun.com/sm64/run/y6g3g5jm,2024-12-01T18:34:11Z,423.32,423.32,kjprmwk8,Weegee,United States,N64,Yes
5,y4orrgnz,6,http://www.speedrun.com/sm64/run/y4orrgnz,2023-06-10T00:59:43Z,423.96,423.96,8vkrw22j,Tag609,United States,N64,Yes
6,y28k1k5y,7,http://www.speedrun.com/sm64/run/y28k1k5y,2025-07-18T17:19:16Z,424.13,424.13,xkmnnmmj,ZUMMI,Italy,EMU,Yes
7,y8gl8lxz,8,http://www.speedrun.com/sm64/run/y8gl8lxz,2025-08-24T09:07:05Z,425.09,425.09,xkzm1z9x,MmaARriOy_,Japan,N64,Yes
8,yoeord7z,9,http://www.speedrun.com/sm64/run/yoeord7z,2025-07-20T03:09:26Z,425.3,425.3,86nnlvqx,Banova8,France,N64,Yes
9,mrd1k44z,10,http://www.speedrun.com/sm64/run/mrd1k44z,2025-06-06T00:39:18Z,425.5,425.5,j2www16j,treybordo,United States,N64,Yes
10,z123gpjy,11,http://www.speedrun.com/sm64/run/z123gpjy,2021-12-08T13:57:56Z,427.32,427.32,7j40gpw8,tokumeiR,Antarctica,N64,Yes
11,y6opvvqy,12,http://www.speedrun.com/sm64/run/y6opvvqy,2022-12-14T21:31:32Z,431.83,431.83,j4rpn7d8,Nils,Sweden,N64,Yes
12,z1o1xewm,13,http://www.speedrun.com/sm64/run/z1o1xewm,2020-09-21T09:08:41Z,431.93,431.93,kj92gmv8,Dowsky,United States,N64,Yes
13,ylj51okm,14,http://www.speedrun.com/sm64/run/ylj51okm,2025-08-18T07:27:59Z,434.33,434.33,48gqo07j,darkdog47,United States,N64,Yes
14,zglp6xjm,15,http://www.speedrun.com/sm64/run/zglp6xjm,2024-04-17T15:00:21Z,434.7,434.7,xk3nmqk8,DuckTapeDuck,,EMU,Yes
15,z1qw6k7y,16,http://www.speedrun.com/sm64/run/z1qw6k7y,2023-04-21T19:09:44Z,436.9,436.9,jmolpwo8,Raisn,Germany,EMU,Yes
