,id,place,speedrun_link,submitted_date,primary_time_seconds,real_time_seconds,player_id,player_name,player_country,platform,verified
0,mk1x1wxy,1,http://www.speedrun.com/sm64/run/mk1x1wxy,2024-11-04T05:39:48Z,5728,5728,jn32931x,Suigi,Canada,N64,Yes
1,z00v01jz,2,http://www.speedrun.com/sm64/run/z00v01jz,2025-09-16T15:59:21Z,5730,5730,,,,N64,No
2,yv77ke4y,2,http://www.speedrun.com/sm64/run/yv77ke4y,2025-08-15T03:07:38Z,5730,5730,j2ylqn68,Karin,Japan,N64,Yes
3,yvx4o46z,4,http://www.speedrun.com/sm64/run/yvx4o46z,2024-07-07T17:33:13Z,5762,5762,kjprmwk8,Weegee,United States,N64,Yes
4,yv7jgrey,5,http://www.speedrun.com/sm64/run/yv7jgrey,2025-05-01T21:52:00Z,5793,5793,1xyd46wx,Kally,United States,N64,Yes
5,yj7ogody,6,http://www.speedrun.com/sm64/run/yj7ogody,2025-12-31T19:23:42Z,5796,5796,8wkzer38,Parsee02,Japan,N64,Yes
6,ydnp5jqm,7,http://www.speedrun.com/sm64/run/ydnp5jqm,2024-06-12T23:32:21Z,5804,5804,v814mkp8,cheese,Spain,N64,Yes
7,yv516qem,8,http://www.speedrun.com/sm64/run/yv516qem,2025-11-08T13:03:30Z,5806,5806,v81ddq38,Smau,Finland,N64,Yes
8,yd4107xy,9,http://www.speedrun.com/sm64/run/yd4107xy,2025-06-30T23:25:48Z,5807,5807,jo2mr9n8,marlene,,N64,Yes
9,yvxlr06z,10,http://www.speedrun.com/sm64/run/yvxlr06z,2024-09-29T17:44:24Z,5826,5826,zx77v7rx,simply,United States,N64,Yes
10,menw6l0m,11,http://www.speedrun.com/sm64/run/menw6l0m,2025-02-26T09:05:45Z,5827,5827,pj0zz298,BeastAssassin67,United States,N64,Yes
11,y2kedw7y,12,http://www.speedrun.com/sm64/run/y2kedw7y,2023-11-23T15:29:50Z,5837,5837,kj9yz0wx,Liam,United States,N64,Yes
12,mrxxrldm,13,http://www.speedrun.com/sm64/run/mrxxrldm,2024-10-06T18:08:39Z,5846,5846,48gev4rj,puncayshun,United States,N64,Yes
13,mkrooovz,14,http://www.speedrun.com/sm64/run/mkrooovz,2026-01-14T16:45:00Z,5858,5858,jmolpwo8,Raisn,Germany,EMU,Yes
14,z5kvqwdz,15,http://www.speedrun.com/sm64/run/z5kvqwdz,2023-11-13T15:12:15Z,5860,5860,kj9lkowj,batora,Japan,N64,Yes
15,zglxd1dm,16,http://www.speedrun.com/sm64/run/zglxd1dm,2024-03-21T19:42:58Z,5875,5875,dx35192j,Dezanig,Brazil,N64,Yes
16,mrdjx2gz,16,http://www.speedrun.com/sm64/run/mrdjx2gz,2025-04-23T01:50:46Z,5875,5875,8r7m4ldj,beeve,United States,N64,Yes
